Date,Open,High,Low,Close,Adj Close,Volume
2019-04-24,2.850000,2.920000,2.840000,2.920000,2.920000,6060821
2019-04-25,2.400000,2.570000,2.180000,2.480000,2.480000,75847017
2019-04-26,2.440000,2.440000,2.310000,2.340000,2.340000,77185549
2019-04-29,2.350000,2.440000,2.340000,2.360000,2.360000,9307715
2019-04-30,2.390000,2.400000,2.290000,2.290000,2.290000,8598247
2019-05-01,2.270000,2.350000,2.260000,2.340000,2.340000,9763823
2019-05-02,2.250000,2.330000,2.090000,2.220000,2.220000,22304854
2019-05-03,2.250000,2.320000,2.180000,2.290000,2.290000,9670140
2019-05-06,2.260000,2.270000,2.200000,2.210000,2.210000,4940901
2019-05-07,2.210000,2.220000,2.120000,2.180000,2.180000,12280481
2019-05-08,2.190000,2.230000,2.170000,2.170000,2.170000,4758954
2019-05-09,2.170000,2.210000,2.140000,2.150000,2.150000,4810062
2019-05-10,2.140000,2.160000,2.090000,2.130000,2.130000,7984086
2019-05-13,2.090000,2.110000,2.060000,2.090000,2.090000,5763699
2019-05-14,2.100000,2.100000,2.050000,2.050000,2.050000,4968508
2019-05-15,2.040000,2.060000,2.000000,2.000000,2.000000,10959376
2019-05-16,2.000000,2.150000,2.000000,2.150000,2.150000,12879821
2019-05-17,2.160000,2.170000,2.110000,2.110000,2.110000,6805849
2019-05-21,2.110000,2.210000,2.100000,2.190000,2.190000,6883448
2019-05-22,2.230000,2.230000,2.090000,2.100000,2.100000,7153938
2019-05-23,2.080000,2.090000,2.025000,2.080000,2.080000,5824688
2019-05-24,2.090000,2.120000,2.050000,2.070000,2.070000,3469078
2019-05-27,2.070000,2.100000,2.070000,2.070000,2.070000,1345283
2019-05-28,2.130000,2.180000,2.070000,2.070000,2.070000,17762711
2019-05-29,2.070000,2.085000,2.020000,2.050000,2.050000,3946662
2019-05-30,2.050000,2.080000,2.020000,2.020000,2.020000,6162369
2019-05-31,2.020000,2.030000,1.985000,2.030000,2.030000,7377181
2019-06-03,2.030000,2.030000,1.970000,2.000000,2.000000,10897069
2019-06-04,2.000000,2.010000,1.960000,1.960000,1.960000,4856761
2019-06-05,2.000000,2.260000,2.000000,2.150000,2.150000,17906970
2019-06-06,2.170000,2.190000,2.060000,2.060000,2.060000,6792730
2019-06-07,2.070000,2.100000,2.050000,2.070000,2.070000,5489261
2019-06-10,2.090000,2.200000,2.080000,2.140000,2.140000,5934652
2019-06-11,2.170000,2.190000,2.120000,2.190000,2.190000,4633401
2019-06-12,2.180000,2.190000,2.130000,2.180000,2.180000,5486286
2019-06-13,2.190000,2.190000,2.150000,2.180000,2.180000,4170658
2019-06-14,2.180000,2.190000,2.150000,2.180000,2.180000,4046880
2019-06-17,2.220000,2.420000,2.210000,2.400000,2.400000,12221923
2019-06-18,2.420000,2.460000,2.250000,2.260000,2.260000,10718626
2019-06-19,2.270000,2.280000,2.180000,2.190000,2.190000,6219404
2019-06-20,2.220000,2.270000,2.200000,2.250000,2.250000,5640468
2019-06-21,2.250000,2.300000,2.220000,2.250000,2.250000,15797655
2019-06-24,2.240000,2.240000,2.190000,2.190000,2.190000,4055961
2019-06-25,2.290000,2.300000,2.240000,2.250000,2.250000,6996658
2019-06-26,2.250000,2.260000,2.140000,2.250000,2.250000,8163312
2019-06-27,2.240000,2.240000,2.200000,2.210000,2.210000,4763427
2019-06-28,2.200000,2.210000,2.160000,2.200000,2.200000,9659568
2019-07-02,2.210000,2.210000,2.140000,2.150000,2.150000,4570498
2019-07-03,2.160000,2.210000,2.150000,2.210000,2.210000,3075250
2019-07-04,2.210000,2.220000,2.180000,2.220000,2.220000,1443303
2019-07-05,2.200000,2.280000,2.200000,2.280000,2.280000,3682121
2019-07-08,2.250000,2.270000,2.210000,2.210000,2.210000,4618415
2019-07-09,2.200000,2.230000,2.180000,2.220000,2.220000,2060482
