Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,25.129999,25.150000,24.629999,24.660000,24.443083,159200
2019-12-10,24.750000,24.799999,24.170000,24.219999,24.006952,132200
2019-12-11,24.250000,24.299999,23.900000,23.920000,23.709591,120200
2019-12-12,23.969999,24.200001,23.850000,24.010000,23.798801,150100
2019-12-13,24.110001,24.200001,23.870001,24.010000,23.798801,134600
2019-12-16,33.799999,34.060001,33.799999,33.950001,33.651363,5496600
2019-12-17,33.849998,34.009998,33.830002,33.930000,33.631538,2132900
2019-12-18,33.939999,34.389999,33.939999,34.209999,33.909077,1481900
2019-12-19,34.220001,34.290001,34.000000,34.020000,33.720749,618600
2019-12-20,34.160000,34.189999,34.009998,34.009998,33.710835,364600
2019-12-23,34.009998,34.099998,33.959999,34.090000,33.790134,773600
2019-12-24,34.160000,34.259998,34.090000,34.200001,33.899166,587700
2019-12-27,34.169998,34.169998,34.040001,34.099998,33.800041,142800
2019-12-30,34.029999,34.119999,33.950001,33.980000,33.829910,152300
2019-12-31,33.900002,34.009998,33.790001,33.849998,33.700485,141300
2020-01-02,33.820000,33.970001,33.779999,33.900002,33.750267,298500
2020-01-03,33.939999,34.020000,33.849998,34.020000,33.869736,733000
2020-01-06,34.000000,34.060001,33.860001,33.919998,33.770176,262500
2020-01-07,33.980000,34.040001,33.889999,33.939999,33.790089,204300
2020-01-08,33.950001,34.000000,33.869999,33.889999,33.740311,481200
2020-01-09,33.889999,34.000000,33.869999,33.889999,33.740311,577200
2020-01-10,33.950001,33.970001,33.880001,33.900002,33.750267,512400
2020-01-13,33.919998,33.950001,33.900002,33.910000,33.760220,880500
2020-01-14,33.919998,34.000000,33.900002,33.919998,33.770176,769100
2020-01-15,33.930000,34.009998,33.910000,33.919998,33.770176,298800
2020-01-16,33.939999,33.950001,33.889999,33.919998,33.770176,1124000
2020-01-17,33.950001,33.990002,33.889999,33.930000,33.780132,893700
2020-01-20,33.900002,33.939999,33.869999,33.910000,33.760220,283000
2020-01-21,33.900002,33.910000,33.860001,33.889999,33.740311,1522300
2020-01-22,33.880001,33.910000,33.880001,33.900002,33.750267,609900
2020-01-23,33.900002,33.910000,33.889999,33.889999,33.740311,344600
2020-01-24,33.900002,34.000000,33.889999,34.000000,33.849823,1006600
2020-01-27,33.910000,33.939999,33.889999,33.919998,33.770176,530200
2020-01-28,33.930000,33.930000,33.840000,33.900002,33.750267,486500
2020-01-29,33.950001,33.959999,33.860001,33.959999,33.810001,580700
2020-01-30,33.830002,33.849998,33.770000,33.840000,33.840000,382200
2020-01-31,33.820000,33.820000,33.740002,33.770000,33.770000,574300
2020-02-03,33.759998,33.799999,33.720001,33.759998,33.759998,1156800
2020-02-04,33.799999,33.799999,33.740002,33.750000,33.750000,1181300
2020-02-05,33.790001,33.799999,33.759998,33.770000,33.770000,1174200
2020-02-06,33.799999,33.799999,33.779999,33.790001,33.790001,672000
2020-02-07,33.849998,33.849998,33.779999,33.830002,33.830002,962100
2020-02-10,33.830002,33.869999,33.779999,33.779999,33.779999,298600
2020-02-11,33.799999,33.900002,33.790001,33.830002,33.830002,611600
2020-02-12,33.860001,33.889999,33.820000,33.820000,33.820000,763000
